pid,monthly_wage,overtime_rate,vacation_days
796,10440.3,100.77,15
104,9888.02,107.82,10
909,8111.57,193.61,16
688,10983.1,102.58,11
1006,10889.66,178.54,17
818,9874.1,156.1,13
42,9412.39,193.29,10
1170,11833.15,112.48,15
38,9579.06,116.7,24
392,10674.88,155.61,30
521,9219.11,119.21,19
17,7469.1,123.35,26
561,11705.62,161.47,23
839,9224.84,119.76,24
922,7625.09,148.48,18
679,10255.53,153.24,22
923,8287.47,112.81,20
438,11659.01,186.67,19
927,9539.62,197.43,19
557,9592.45,103.45,13
39,10223.21,122.19,27
1031,8481.72,102.81,15
185,8371.3,173.86,28
404,11309.2,193.37,12
942,8852.6,183.97,22
23,7382.53,135.22,28
1147,7669.54,160.54,18
746,9456.23,184.09,25
866,8328.0,180.02,16
424,11693.06,169.42,11
898,9123.94,156.35,26
994,8591.67,167.34,27
1085,7802.54,181.51,16
1177,8273.08,157.54,28
108,8564.4,186.52,23
368,11930.7,173.54,21
979,8741.46,126.0,10
694,9581.57,178.23,15
821,8266.23,145.46,15
205,9868.29,148.73,27
659,11648.92,100.57,24
33,7927.3,112.59,12
81,10330.79,116.91,10
807,10926.31,168.55,25
1118,11704.23,191.43,28
246,7883.91,132.97,26
483,7730.85,107.13,27
1154,11960.02,139.8,24
492,8277.95,173.48,19
431,10123.47,104.77,18
1041,9726.85,173.06,21
933,8766.83,171.18,20
508,10531.52,171.02,13
823,7953.35,137.57,29
448,11844.37,165.18,24
1175,7089.12,196.89,22
328,9906.12,147.92,11
29,10036.57,160.83,26
674,11862.91,100.54,24
294,11886.18,130.18,23
331,9155.95,132.59,16
984,11084.12,161.95,18
196,10195.03,106.96,22
683,11960.6,169.31,26
887,7401.79,102.06,15
665,11660.79,126.25,22
339,9321.58,119.2,22
451,10552.42,133.34,22
1120,7441.89,157.33,13
53,7849.26,167.1,19
497,11359.03,166.92,13
21,8184.66,119.66,13
624,11193.52,103.52,29
736,11896.63,159.17,30
917,8739.61,152.15,30
1125,10772.57,149.82,22
602,10885.79,174.26,27
648,9873.26,144.85,20
1142,11439.8,121.96,11
354,8580.25,160.69,15
847,11874.37,124.07,10
1159,9577.5,197.69,22
51,10741.64,129.59,30
214,10166.47,128.84,18
619,7295.23,120.75,14
553,7258.85,182.95,10
177,8625.37,125.2,18
758,10218.0,149.41,16
811,8451.25,196.96,26
1117,11173.12,192.82,16
680,8544.12,196.66,29
1005,7286.96,127.82,23
434,8939.09,147.38,29
1036,8531.44,150.66,22
778,10782.82,175.27,27
773,8149.89,158.51,13
509,7339.23,135.56,26
636,7468.42,188.3,25
142,8422.03,128.73,25
340,8530.61,182.04,14
235,7630.13,144.3,29
441,10827.78,169.97,23
650,8061.79,195.89,16
604,8996.44,194.8,28
228,11818.67,133.58,12
145,11408.38,112.84,13
52,11852.87,155.96,20
97,10313.93,123.36,15
15,8069.62,116.84,14
169,7882.83,189.71,17
525,7070.78,152.2,12
285,7868.74,129.8,19
595,8406.03,144.86,30
974,7669.34,152.43,14
566,9696.28,136.38,29
430,8252.83,117.95,17
1122,9282.03,168.77,13
582,8389.34,134.53,11
634,11799.08,133.84,10
737,10175.38,104.95,19
759,7848.82,176.62,29
469,8202.09,160.74,22
202,11337.35,199.62,20
1083,10978.68,176.95,21
279,8788.3,102.29,18
70,7201.13,170.99,17
597,9366.15,103.84,26
1171,8537.1,162.88,14
646,11187.32,119.19,22
907,9518.3,199.05,24
313,10746.52,161.34,27
518,7843.14,145.79,11
558,8684.17,138.62,13
1090,7755.52,136.46,23
971,11773.07,150.86,16
662,10132.63,182.74,30
880,8993.14,110.9,23
660,8664.25,155.83,24
507,11048.83,122.66,24
71,9098.79,113.4,11
462,10849.66,124.25,13
324,8380.98,140.15,20
1068,11186.45,127.27,25
992,7652.04,179.07,10
272,8103.95,157.32,30
280,11446.53,197.87,16
351,7141.07,110.75,18
883,8112.36,197.66,13
570,7209.81,103.96,30
702,9057.16,176.69,27
879,8845.26,151.68,27
132,8139.75,152.44,29
325,11698.22,174.76,15
874,8610.54,143.96,11
192,7681.55,162.34,16
729,9799.49,173.88,13
304,10302.52,172.72,18
547,7022.62,194.48,29
1176,7957.69,110.02,21
336,11929.62,153.11,30
375,10647.89,189.06,12
510,11172.48,184.77,24
826,7322.05,124.84,15
308,11685.0,183.93,15
422,7573.77,168.9,13
943,11429.41,104.26,13
921,9166.32,135.38,30
784,11853.41,114.41,16
687,8581.02,135.94,29
617,10018.59,136.95,18
74,8145.98,118.89,13
914,10790.53,126.24,14
61,9973.22,118.43,10
653,8802.45,100.37,24
966,7817.81,131.74,17
552,8649.34,120.63,20
27,9670.46,109.4,14
262,8310.83,191.41,27
1119,8436.14,104.53,19
999,10699.99,176.58,11
253,7330.76,135.3,30
259,11786.86,153.97,18
970,11229.82,136.38,16
740,7363.55,132.84,29
947,7469.68,106.96,28
1051,11040.23,120.13,16
963,7211.32,135.58,29
1059,10842.9,103.73,29
1071,8833.75,113.51,30
593,11130.85,175.46,30
929,7604.57,174.23,11
667,8586.47,141.36,13
189,8515.15,175.68,27
284,7808.56,121.9,29
359,7902.41,187.62,10
315,10644.45,147.22,21
428,7074.99,134.6,23
222,7633.19,141.39,25
721,8108.31,159.59,16
1035,9723.17,140.62,12
113,10323.73,161.49,24
63,11784.22,198.14,16
144,8305.04,189.58,25
618,7167.84,158.86,14
829,7918.91,100.8,11
480,11134.87,148.99,24
935,7121.09,181.26,18
528,11273.0,179.57,18
809,10161.13,177.27,18
79,9510.6,149.88,30
442,9129.36,132.61,27
412,10917.49,199.09,26
217,11916.03,149.02,27
1018,8932.01,158.85,22
513,7322.83,181.09,13
227,7397.94,194.84,11
550,7326.09,140.15,30
594,10966.03,112.96,22
544,8857.07,106.84,18
861,11612.83,110.22,28
473,11468.82,102.28,17
409,10441.17,152.21,29
273,9025.93,188.82,29
198,7221.43,110.15,30
1089,9015.7,152.59,14
12,9435.32,145.37,22
831,11168.72,191.8,29
420,8961.12,183.6,13
1188,8365.35,152.88,27
548,8630.02,188.33,19
121,7682.78,170.02,27
1007,9249.16,189.15,25
452,9910.94,134.45,14
120,11107.92,178.75,29
309,10369.18,199.93,27
1096,7416.56,135.85,10
249,8583.19,190.12,17
1040,8432.3,151.32,13
283,10844.55,199.73,23
686,7184.2,179.47,21
55,7328.76,136.79,23
978,9081.08,192.89,25
